bank_name,year,peer_group,market_size_index,market_rank,total_assets_ksh_m,asset_market_share_pct,total_deposits_ksh_m,shareholders_funds_ksh_m,deposit_accounts,loan_accounts
KCB Bank Kenya Ltd,2024,Large,16.6,1,1277767,16.9,988509,183715,53688652,1425388
Equity Bank Kenya Ltd,2024,Large,12.8,2,1027680,13.6,843563,123102,14403872,844445
Co-operative Bank of Kenya Ltd,2024,Large,9.6,3,687823,9.1,482660,134988,3871922,2195741
NCBA Bank Kenya Plc,2024,Large,8.3,4,588703,7.8,462377,96560,33087517,6078860
Absa Bank Kenya Plc,2024,Large,6.6,5,506129,6.7,378919,80177,2405546,338911
Stanbic Bank Kenya Ltd,2024,Large,5.7,6,445248,5.9,332128,65417,321906,54006
I&M Bank Ltd,2024,Large,5.4,7,414873,5.5,314134,66222,339531,69335
Standard Chartered Bank Kenya Ltd,2024,Large,5.4,8,385206,5.1,295997,71503,317965,68169
Diamond Trust Bank Kenya Ltd,2024,Large,5.2,9,381137,5.0,305169,65537,572439,36012
Prime Bank Ltd,2024,Medium,2.9,10,188807,2.5,143779,43595,51342,4697
Bank of Baroda (Kenya) Ltd,2024,Medium,2.7,11,200538,2.6,166016,33276,70470,557
Citibank N.A. Kenya,2024,Medium,2.6,12,171822,2.3,130043,38159,2318,252
Family Bank Ltd,2024,Medium,2.1,13,168414,2.2,134268,21722,2925798,203051
National Bank of Kenya Ltd,2024,Medium,1.6,14,148255,2.0,110553,13040,511772,132578
Bank of India,2024,Medium,1.6,15,90543,1.2,59270,29998,12505,542
Ecobank Kenya Ltd,2024,Medium,1.1,16,102634,1.4,95864,5222,298921,3569
SBM Bank Kenya Ltd,2024,Medium,1.1,17,101385,1.3,69872,9133,135287,8859
HFC Ltd,2024,Medium,1.0,18,67561,0.9,48271,14794,250203,11417
Victoria Commercial Bank Plc,2024,Small,0.8,19,64953,0.9,51450,8280,8250,1685
Sidian Bank Ltd,2024,Small,0.7,20,60020,0.8,45768,6868,172288,21203
Gulf African Bank Ltd,2024,Small,0.6,21,44916,0.6,35824,8199,91752,19841
Bank of Africa (K) Ltd,2024,Small,0.6,22,54037,0.7,36516,6295,58825,11780
Guaranty Trust Bank Ltd,2024,Small,0.6,23,34058,0.5,17713,11138,23433,1090
African Banking Corporation Ltd,2024,Small,0.6,24,50089,0.7,39524,4083,26351,847
Habib Bank AG Zurich,2024,Small,0.5,25,37853,0.5,34284,3377,6316,515
DIB Bank Kenya Ltd,2024,Small,0.4,26,28848,0.4,22735,5615,7763,911
Kingdom Bank Ltd,2024,Small,0.4,27,41186,0.5,21632,3045,271659,28192
Premier Bank Kenya Ltd,2024,Small,0.3,28,25060,0.3,14757,4860,72439,1639
Credit Bank Plc,2024,Small,0.3,29,26296,0.3,19666,2945,44572,2229
Development Bank of Kenya Ltd,2024,Small,0.3,30,21233,0.3,13630,3865,2031,1195
CIB Kenya Ltd,2024,Small,0.3,31,17103,0.2,13263,3616,4232,389
Guardian Bank Ltd,2024,Small,0.2,32,16126,0.2,11981,3720,10765,1509
Paramount Bank Ltd,2024,Small,0.2,33,15902,0.2,12815,2915,6952,2185
M-Oriental Bank Kenya Ltd,2024,Small,0.2,34,13789,0.2,10099,3542,5039,616
Middle East Bank (K) Ltd,2024,Small,0.2,35,16346,0.2,11862,2345,4716,1689
UBA Kenya Bank Ltd,2024,Small,0.2,36,13701,0.2,10494,1494,14010,228
Access Bank (Kenya) Plc,2024,Small,0.2,37,14331,0.2,13116,810,98486,2103
Consolidated Bank of Kenya Ltd,2024,Small,0.2,38,17516,0.2,11733,486,46366,4802
Spire Bank Ltd,2024,Small,0.0,39,76,0.0,0,-96,0,0
