bank_name,year,gross_loans_prior_ksh_m,gross_loans_ksh_m,gross_npls_prior_ksh_m,gross_npls_ksh_m,loan_growth_pct,npl_ratio_prior_pct,npl_ratio_pct
KCB Bank Kenya Ltd,2024,843001,853079,166262,176811,1.2,19.7,20.7
Equity Bank Kenya Ltd,2024,489241,478787,79843,92985,-2.1,16.3,19.4
Co-operative Bank of Kenya Ltd,2024,396508,399951,62804,66952,0.9,15.8,16.7
Absa Bank Kenya Plc,2024,358919,337123,35255,42471,-6.1,9.8,12.6
NCBA Bank Kenya Plc,2024,318113,289956,40462,35512,-8.9,12.7,12.2
Stanbic Bank Kenya Ltd,2024,279148,248074,26467,22642,-11.1,9.5,9.1
I&M Bank Ltd,2024,246507,235557,27140,30944,-4.4,11,13.1
Diamond Trust Bank Kenya Ltd,2024,223416,211088,37928,33792,-5.5,17,16
Standard Chartered Bank Kenya Ltd,2024,177206,161481,17221,12019,-8.9,9.7,7.4
Family Bank Ltd,2024,96000,103846,14007,14445,8.2,14.6,13.9
National Bank of Kenya Ltd,2024,93976,92837,25186,30795,-1.2,26.8,33.2
Bank of Baroda (Kenya) Ltd,2024,71124,73380,5631,8910,3.2,7.9,12.1
Prime Bank Ltd,2024,60643,59932,6242,6032,-1.2,10.3,10.1
Citibank N.A. Kenya,2024,57611,58739,2501,2242,2,4.3,3.8
SBM Bank Kenya Ltd,2024,57051,55517,14789,17122,-2.7,25.9,30.8
HFC Ltd,2024,46888,48205,10820,11964,2.8,23.1,24.8
Victoria Commercial Bank Plc,2024,44374,43588,4757,6056,-1.8,10.7,13.9
African Banking Corporation Ltd,2024,30640,36013,6024,10588,17.5,19.7,29.4
Sidian Bank Ltd,2024,25023,28548,4485,7709,14.1,17.9,27
Gulf African Bank Ltd,2024,26701,28050,3642,4732,5.1,13.6,16.9
Credit Bank Plc,2024,23087,24185,10167,14405,4.8,44,59.6
Bank of India,2024,26559,23450,1871,2474,-11.7,7,10.6
Ecobank Kenya Ltd,2024,27066,22383,5288,2825,-17.3,19.5,12.6
Bank of Africa (K) Ltd,2024,19946,21017,4664,4754,5.4,23.4,22.6
Premier Bank Kenya Ltd,2024,18226,18614,11781,10720,2.1,64.6,57.6
DIB Bank Kenya Ltd,2024,17579,18546,1747,4371,5.5,9.9,23.6
Kingdom Bank Ltd,2024,11588,15356,3210,2978,32.5,27.7,19.4
Development Bank of Kenya Ltd,2024,12488,12947,2675,2674,3.7,21.4,20.7
Consolidated Bank of Kenya Ltd,2024,11302,11119,3471,3637,-1.6,30.7,32.7
Middle East Bank (K) Ltd,2024,11252,10156,2257,3808,-9.7,20.1,37.5
Paramount Bank Ltd,2024,9225,9400,1313,1893,1.9,14.2,20.1
Guardian Bank Ltd,2024,7595,7734,1213,1181,1.8,16,15.3
M-Oriental Bank Kenya Ltd,2024,7708,7539,1868,1973,-2.2,24.2,26.2
CIB Kenya Ltd,2024,6690,6691,1083,1042,0,16.2,15.6
Habib Bank AG Zurich,2024,9377,6640,579,518.115,-29.2,6.2,7.8
Guaranty Trust Bank Ltd,2024,8249,4792,2702,2673,-41.9,32.8,55.8
Access Bank (Kenya) Plc,2024,4308,3668,645,466.985,-14.9,15,12.7
UBA Kenya Bank Ltd,2024,5022,2191,1050,143,-56.4,20.9,6.5
Spire Bank Ltd,2024,4090,0,2765,0,-100,67.6,0
